temp,atemp,hum,season,weathersit,hr,cnt
0.24,0.2879,0.7,1,1,21,42
0.54,0.5152,0.64,2,2,19,471
0.66,0.6212,0.65,3,1,8,754
0.62,0.5606,0.88,2,2,7,30
0.64,0.6212,0.47,2,1,17,455
0.68,0.6364,0.79,3,1,5,10
0.56,0.5303,0.68,4,2,10,102
0.32,0.3485,0.61,4,1,22,104
0.42,0.4242,0.77,2,1,6,13
0.26,0.2121,0.41,4,2,9,122
0.22,0.2121,0.44,1,1,6,12
0.78,0.7273,0.55,3,1,11,287
0.44,0.4394,0.77,4,1,6,155
0.72,0.6667,0.51,3,1,12,184
0.74,0.6818,0.58,3,2,12,266
0.24,0.2576,0.6,1,2,11,122
0.3,0.303,0.56,1,1,20,76
0.24,0.2273,0.93,2,3,22,24
0.24,0.2273,0.65,1,1,21,45
0.6,0.6212,0.49,2,1,13,390
0.7,0.6515,0.48,3,1,22,157
0.7,0.6364,0.45,2,1,14,609
0.48,0.4697,0.67,4,1,1,58
0.24,0.2879,0.75,1,2,17,176
0.62,0.6061,0.69,4,3,16,565
0.28,0.2576,0.41,1,2,4,3
0.48,0.4697,0.88,2,3,8,226
0.24,0.2576,0.93,4,1,6,16
0.6,0.6061,0.64,2,2,13,565
0.16,0.1212,0.37,1,1,15,77
0.76,0.7121,0.58,3,1,23,131
0.34,0.303,0.42,1,1,13,118
0.72,0.6667,0.51,3,2,8,673
0.72,0.6818,0.66,3,1,22,181
0.26,0.2424,0.75,4,2,0,23
0.56,0.5303,0.52,4,1,10,170
0.74,0.697,0.66,3,1,0,66
0.24,0.2879,0.6,1,1,23,25
0.26,0.2424,0.41,4,1,10,115
0.4,0.4091,0.87,4,2,1,11
0.42,0.4242,0.71,2,1,7,67
0.42,0.4242,0.66,4,2,18,456
0.34,0.3182,0.49,4,1,18,559
0.4,0.4091,0.62,4,1,1,84
0.46,0.4545,0.51,4,1,19,283
0.42,0.4242,0.54,2,1,9,321
0.38,0.3939,0.27,1,1,16,108
0.7,0.6515,0.65,2,1,9,316
0.34,0.3333,0.46,4,1,12,240
0.74,0.7121,0.74,3,1,18,500
0.68,0.6364,0.89,3,1,1,21
0.56,0.5303,0.43,2,1,0,44
0.62,0.5455,0.94,3,3,8,288
0.52,0.5,0.72,2,2,18,276
0.34,0.2879,0.46,1,1,22,45
0.36,0.3485,0.5,4,1,18,354
0.52,0.5,0.72,4,1,22,154
0.86,0.7576,0.36,3,1,10,97
0.4,0.4091,0.5,1,1,5,18
0.74,0.6667,0.42,2,1,18,823
0.3,0.3182,0.87,4,2,1,94
0.74,0.6667,0.48,3,1,18,941
0.44,0.4394,0.54,1,1,12,179
0.42,0.4242,0.77,1,2,22,63
0.72,0.6515,0.34,3,1,11,131
0.28,0.2576,0.65,1,2,12,138
0.66,0.5909,0.89,3,1,4,11
0.9,0.8333,0.39,2,1,13,147
0.2,0.2424,1.0,1,3,12,48
0.74,0.6515,0.3,2,1,15,333
0.92,0.8485,0.35,3,1,16,389
0.76,0.6667,0.31,2,1,14,373
0.52,0.5,0.63,2,1,8,86
0.54,0.5152,0.68,2,2,13,129
0.26,0.2121,0.44,1,1,15,192
0.4,0.4091,0.35,1,1,20,171
0.66,0.6212,0.44,1,1,19,190
0.64,0.6061,0.65,3,1,13,343
0.82,0.7424,0.43,3,1,15,408
0.8,0.7424,0.52,3,1,17,730
0.52,0.5,0.77,1,1,11,59
0.56,0.5303,0.94,2,2,7,236
0.26,0.2727,0.65,1,1,3,3
0.6,0.6061,0.6,3,1,1,24
0.42,0.4242,0.77,1,1,5,29
0.42,0.4242,0.38,4,1,14,300
0.2,0.2273,0.4,1,2,19,184
0.36,0.3788,0.66,4,1,20,147
0.42,0.4242,0.67,1,1,17,515
0.56,0.5303,0.4,1,1,18,544
0.78,0.7424,0.62,2,1,20,317
0.68,0.6364,0.79,3,1,4,4
0.68,0.6364,0.83,3,2,4,5
0.1,0.0758,0.68,1,3,0,21
0.34,0.3636,0.55,4,2,11,115
0.3,0.2879,0.75,4,2,8,441
0.44,0.4394,0.82,4,1,21,221
0.38,0.3939,0.32,1,1,12,86
0.26,0.2576,1.0,1,1,21,56
0.32,0.3333,0.49,1,1,1,6
0.58,0.5455,0.35,4,1,12,444
0.62,0.5758,0.83,3,2,1,72
0.4,0.4091,0.54,4,1,20,255
0.16,0.1818,0.55,1,1,0,5
0.66,0.6212,0.39,4,1,17,967
0.66,0.6212,0.5,3,1,1,31
0.4,0.4091,0.76,4,3,22,107
0.16,0.1818,0.93,1,3,9,20
0.52,0.5,0.48,2,1,5,28
0.36,0.3485,0.81,4,1,1,11
0.26,0.2879,0.65,1,1,0,9
0.34,0.3636,0.87,4,1,0,15
0.6,0.6212,0.46,2,1,10,203
0.86,0.803,0.47,2,1,12,162
0.72,0.697,0.74,3,2,8,457
0.6,0.5455,0.88,3,3,17,241
0.46,0.4545,0.51,2,1,11,411
0.24,0.2121,0.52,1,1,6,5
0.82,0.7879,0.56,3,1,12,185
0.24,0.2424,0.87,1,2,10,97
0.46,0.4545,0.87,4,1,21,126
0.42,0.4242,0.67,4,1,4,7
0.3,0.2727,1.0,1,2,7,15
0.32,0.3182,0.61,1,1,20,235
0.38,0.3939,0.71,1,2,13,173
0.34,0.303,0.61,1,3,23,24
0.22,0.2424,0.87,1,2,23,52
0.46,0.4545,0.38,4,1,17,837
0.58,0.5455,0.73,2,3,6,112
0.86,0.7879,0.41,3,1,13,155
0.76,0.7273,0.66,3,1,17,863
0.68,0.6364,0.83,3,1,7,63
0.34,0.303,0.76,2,3,15,136
0.34,0.3636,0.42,4,2,13,238
0.72,0.6818,0.7,3,1,1,54
0.6,0.6212,0.4,2,2,19,459
0.54,0.5152,0.88,3,3,13,29
0.5,0.4848,0.48,4,1,14,150
0.72,0.6818,0.7,3,1,2,7
0.48,0.4697,0.88,4,2,23,62
0.32,0.3333,0.49,1,2,5,2
0.82,0.7576,0.46,3,1,11,485
0.84,0.7576,0.44,2,1,12,207
0.44,0.4394,0.54,4,2,4,11
0.18,0.1818,0.64,1,2,2,2
0.62,0.5455,0.94,4,3,6,133
0.68,0.6364,0.51,3,1,23,151
0.7,0.6515,0.58,2,1,22,214
0.46,0.4545,0.23,2,1,23,118
0.52,0.5,0.88,4,2,3,13
0.66,0.6061,0.83,3,1,6,102
0.86,0.8333,0.53,3,2,21,236
0.4,0.4091,0.43,2,1,8,596
0.88,0.7879,0.37,3,1,14,176
0.64,0.5606,0.94,2,1,0,103
0.74,0.6667,0.48,3,1,23,171
0.52,0.5,0.45,4,1,15,567
0.44,0.4394,0.44,1,1,20,148
0.28,0.3182,0.75,4,1,0,75
0.34,0.3636,0.81,4,1,3,48
0.76,0.6818,0.4,3,2,12,379
0.5,0.4848,0.39,1,1,20,170
0.6,0.5455,0.88,3,2,3,43
0.78,0.7424,0.62,2,1,19,285
0.3,0.3182,0.7,1,2,6,87
0.16,0.197,0.8,1,2,15,47
0.44,0.4394,0.77,2,2,2,35
0.16,0.1515,0.43,1,1,22,77
0.5,0.4848,0.42,1,1,13,313
0.2,0.197,0.75,4,1,8,397
0.84,0.7273,0.3,3,1,15,483
0.64,0.5758,0.89,3,1,21,272
0.72,0.6667,0.51,3,1,9,232
0.8,0.7121,0.38,3,1,19,423
0.72,0.6667,0.51,2,2,13,249
0.48,0.4697,0.48,4,2,17,494
0.3,0.3333,0.81,4,1,6,92
0.4,0.4091,0.76,1,1,14,141
0.7,0.6515,0.61,2,3,20,204
0.3,0.3182,0.61,4,1,0,102
0.62,0.5606,0.88,3,1,1,7
0.44,0.4394,0.33,4,1,16,469
0.64,0.6061,0.73,2,2,16,315
0.72,0.7121,0.84,2,2,2,6
0.32,0.303,0.66,2,1,0,23
0.6,0.5152,0.94,4,2,5,22
0.28,0.303,0.61,1,2,1,13
0.6,0.5606,0.83,3,1,4,9
0.56,0.5303,0.68,2,1,8,126
0.42,0.4242,0.94,4,3,19,54
0.32,0.3182,0.61,4,1,10,273
0.76,0.697,0.55,3,3,12,161
0.6,0.6212,0.43,2,1,12,348
0.28,0.2879,0.81,1,2,0,19
0.52,0.5,0.34,2,1,10,182
0.66,0.5909,0.89,3,2,3,43
0.92,0.7727,0.16,3,1,17,320
0.44,0.4394,0.72,2,1,7,401
0.28,0.2576,0.56,4,1,8,691
0.32,0.3485,0.66,4,1,20,165
0.46,0.4545,0.63,1,2,14,159
0.68,0.6364,0.79,3,1,1,28
0.46,0.4545,0.38,1,1,18,246
0.5,0.4848,0.77,2,3,0,33
0.6,0.5758,0.78,3,1,6,105
0.58,0.5455,0.6,2,1,19,410
0.68,0.6364,0.65,3,1,8,118
0.4,0.4091,0.58,2,2,6,75
0.66,0.6212,0.69,2,1,19,448
0.46,0.4545,0.88,4,2,5,21
0.3,0.3333,0.81,4,1,7,251
0.56,0.5303,0.88,2,1,5,31
0.34,0.3333,0.66,1,2,18,175
0.6,0.5606,0.83,3,1,7,370
0.66,0.6061,0.83,3,2,8,455
0.54,0.5152,0.18,2,1,18,517
0.64,0.6061,0.73,3,1,6,18
0.58,0.5455,0.88,2,1,3,5
0.42,0.4242,0.77,2,1,3,18
0.74,0.6818,0.58,3,1,20,471
0.46,0.4545,0.72,4,1,9,111
0.24,0.2879,0.7,1,1,6,9
0.6,0.6061,0.64,2,1,10,482
0.72,0.7121,0.84,3,1,1,122
0.5,0.4848,0.72,2,2,16,214
0.2,0.2121,0.64,1,2,9,170
0.74,0.7121,0.79,3,1,2,12
0.52,0.5,0.59,2,1,8,97
0.7,0.6364,0.42,2,1,19,467
0.22,0.2727,0.64,1,1,4,2
0.68,0.6364,0.65,2,2,2,6
0.46,0.4545,0.72,3,1,0,108
0.42,0.4242,0.67,2,2,12,445
0.84,0.803,0.53,3,1,18,794
0.4,0.4091,0.28,1,1,19,150
0.4,0.4091,0.87,4,1,0,24
0.44,0.4394,0.77,1,2,15,110
0.74,0.6818,0.58,2,2,13,204
0.66,0.6061,0.83,3,1,3,5
0.48,0.4697,0.48,2,1,23,135
0.46,0.4545,0.82,2,1,13,263
0.68,0.6364,0.47,3,1,22,187
0.3,0.2879,0.56,4,1,23,205
0.8,0.7121,0.41,3,1,11,149
0.72,0.6667,0.54,3,1,21,215
0.7,0.6515,0.7,3,1,10,142
0.74,0.7273,0.84,3,2,2,6
0.26,0.2424,0.56,1,2,10,162
0.34,0.3485,0.25,1,1,15,72
0.72,0.6515,0.39,3,1,16,491
0.26,0.2879,0.65,1,1,1,20
0.72,0.7121,0.84,3,1,20,183
0.26,0.2273,0.93,2,2,10,65
0.38,0.3939,0.76,4,1,1,17
0.14,0.1212,0.5,1,2,6,8
0.52,0.5,0.72,4,2,21,209
0.38,0.3939,0.36,1,1,13,75
0.62,0.6212,0.38,3,1,10,196
0.26,0.2424,1.0,1,2,22,68
0.6,0.5606,0.83,4,1,8,431
0.54,0.5152,0.77,4,2,23,63
0.34,0.303,0.46,4,1,23,87
0.3,0.303,0.45,1,2,14,81
0.68,0.6364,0.65,3,1,7,72
0.68,0.6364,0.83,2,3,16,350
0.32,0.303,0.36,1,1,14,136
0.26,0.2879,0.81,4,2,1,95
0.34,0.3636,0.87,4,2,5,9
0.16,0.1818,0.8,4,2,8,385
0.72,0.6818,0.62,2,2,15,343
0.76,0.6818,0.48,3,2,10,262
0.8,0.7576,0.55,3,1,23,131
0.58,0.5455,0.78,2,2,22,217
0.64,0.5606,0.94,2,1,1,79
0.6,0.6212,0.4,3,1,4,11
0.22,0.197,0.93,4,3,18,43
0.58,0.5455,0.49,2,1,23,86
0.84,0.7879,0.49,3,1,12,237
0.62,0.6212,0.35,4,1,12,446
0.54,0.5152,0.88,2,2,1,12
0.7,0.6364,0.42,2,1,12,336
0.74,0.697,0.7,3,1,16,500
0.54,0.5152,0.83,2,2,2,93
0.74,0.6818,0.55,2,1,17,798
0.36,0.3788,0.87,1,1,6,64
0.48,0.4697,0.82,1,1,2,11
0.34,0.3333,0.71,4,2,6,148
0.54,0.5152,0.77,2,1,23,125
0.38,0.3939,0.37,1,1,19,282
0.46,0.4545,0.88,4,1,23,131
0.48,0.4697,0.41,1,1,12,101
0.24,0.2121,0.87,1,2,19,49
0.56,0.5303,0.6,2,3,1,14
0.74,0.6818,0.55,3,1,16,275
0.46,0.4545,0.94,4,3,9,82
0.22,0.2576,0.25,1,1,13,80
0.42,0.4242,0.82,2,1,4,10
0.86,0.7576,0.36,3,1,17,537
0.74,0.6818,0.55,3,1,8,424
0.62,0.6061,0.69,2,1,11,118
0.7,0.6515,0.7,3,2,19,381
0.48,0.4697,0.63,2,2,0,43
0.3,0.2727,0.36,4,1,15,198
0.7,0.6515,0.61,2,1,19,492
0.34,0.3485,0.23,1,1,14,135
0.66,0.6212,0.69,3,1,5,20
0.46,0.4545,0.88,4,2,6,175
0.72,0.6818,0.62,2,1,19,311
0.66,0.6061,0.83,3,1,6,167
0.72,0.6818,0.7,3,2,9,162
0.52,0.5,0.48,2,1,18,439
0.56,0.5303,0.64,4,1,15,382
0.58,0.5455,0.83,2,1,20,283
0.46,0.4545,0.67,4,1,20,248
0.24,0.2273,0.6,1,1,10,66
0.52,0.5,0.55,2,1,8,634
0.4,0.4091,0.54,1,1,15,82
0.32,0.2879,0.42,1,1,7,263
0.36,0.3333,0.34,1,1,12,201
0.48,0.4697,0.48,4,2,14,299
0.32,0.2879,0.49,1,1,23,20
0.6,0.5455,0.88,4,2,9,175
0.46,0.4545,0.72,4,3,16,131
0.46,0.4545,0.94,4,3,5,13
0.36,0.3485,0.4,4,1,12,236
0.24,0.2879,0.65,4,1,7,365
0.36,0.3636,0.5,1,1,2,38
0.84,0.7273,0.32,3,1,17,532
0.36,0.3485,0.27,2,1,13,211
0.3,0.303,0.81,4,2,6,100
0.42,0.4242,0.5,2,1,8,440
0.74,0.697,0.66,3,1,9,169
0.34,0.303,0.39,4,2,13,137
0.4,0.4091,0.28,1,1,14,134
0.52,0.5,0.59,2,2,20,309
0.5,0.4848,0.94,2,1,5,12
0.56,0.5303,0.56,1,1,10,188
0.26,0.2727,0.87,4,1,6,103
0.56,0.5303,0.83,4,2,8,406
0.3,0.2727,0.52,4,1,3,8
0.62,0.5758,0.83,2,1,20,201
0.24,0.197,0.41,1,1,23,91
0.48,0.4697,0.33,1,2,21,239
0.64,0.5909,0.78,4,2,16,449
0.6,0.6212,0.4,2,1,21,316
0.44,0.4394,0.82,2,1,3,5
0.58,0.5455,0.43,4,1,14,195
0.18,0.197,0.47,1,2,12,80
0.66,0.6212,0.74,4,2,14,390
0.24,0.2273,0.6,1,1,23,23
0.7,0.6667,0.84,3,1,15,68
0.22,0.2273,0.51,1,1,18,163
0.4,0.4091,0.62,1,1,9,185
0.24,0.2879,0.7,1,1,6,15
0.58,0.5455,0.78,3,1,7,77
0.22,0.197,0.93,1,4,16,36
0.3,0.303,0.81,4,2,2,7
0.3,0.3333,0.87,4,1,5,28
0.82,0.7424,0.41,3,1,10,261
0.6,0.6061,0.6,3,1,21,306
0.44,0.4394,0.77,3,1,4,1
0.66,0.6212,0.69,3,2,22,259
0.72,0.6818,0.7,3,1,22,288
0.56,0.5303,0.52,4,1,23,62
0.28,0.2576,0.52,4,1,9,142
0.74,0.697,0.7,3,2,15,132
0.66,0.6061,0.83,3,2,8,672
0.28,0.2879,0.65,1,1,22,55
0.64,0.6061,0.73,3,1,5,18
0.62,0.6212,0.57,2,1,21,229
0.66,0.6212,0.36,2,1,11,369
0.76,0.6667,0.35,3,1,12,233
0.62,0.6061,0.69,2,1,0,27
0.68,0.6364,0.41,2,1,12,603
0.74,0.697,0.7,3,2,11,198
0.44,0.4394,0.77,2,2,4,7
0.62,0.5758,0.83,3,1,3,9
0.18,0.197,0.47,1,1,21,39
0.28,0.3182,0.7,4,1,23,85
0.62,0.6061,0.69,2,2,10,177
0.72,0.6667,0.51,3,1,17,590
0.76,0.7273,0.7,3,1,22,202
0.74,0.697,0.66,3,3,17,512
0.66,0.5909,0.94,3,2,5,51
0.68,0.6364,0.89,3,2,5,43
0.28,0.2727,0.56,1,1,8,37
0.44,0.4394,0.0,1,2,17,111
0.52,0.5,0.55,2,1,8,374
0.6,0.6212,0.53,2,1,0,48
0.24,0.2273,0.65,2,1,23,33
0.64,0.6212,0.44,2,1,14,394
0.64,0.6061,0.69,3,2,8,124
0.28,0.2727,0.52,1,1,6,104
0.54,0.5152,0.88,3,3,20,163
0.58,0.5455,0.88,3,3,19,215
0.32,0.3333,0.66,1,3,9,104
0.74,0.7273,0.84,3,2,1,21
0.7,0.6515,0.65,2,1,13,203
0.6,0.6212,0.31,4,1,13,328
0.6,0.6212,0.46,2,1,9,300
0.34,0.3182,0.42,1,1,13,87
0.24,0.2121,0.35,1,1,21,85
0.74,0.697,0.66,3,1,2,8
0.62,0.6061,0.69,2,2,13,170
0.52,0.5,0.59,4,2,3,29
0.7,0.6364,0.45,3,1,19,488
0.46,0.4545,0.82,4,2,10,129
0.36,0.3485,0.81,2,2,12,202
0.26,0.2424,0.81,1,3,10,41
0.44,0.4394,0.24,2,1,4,5
0.66,0.6212,0.74,2,2,14,242
0.18,0.1818,0.55,1,1,10,39
0.44,0.4394,0.33,1,1,19,154
0.42,0.4242,0.71,4,1,0,49
0.82,0.2424,0.41,3,1,12,365
0.72,0.697,0.74,3,1,0,37
0.5,0.4848,0.72,2,1,5,29
0.5,0.4848,0.82,3,1,6,195
0.5,0.4848,0.23,1,1,17,385
0.32,0.303,0.7,4,2,5,24
0.6,0.5758,0.78,2,2,7,480
0.36,0.3333,0.46,4,2,21,156
0.22,0.2273,0.69,1,1,5,2
0.64,0.5909,0.78,3,3,2,85
0.24,0.2424,0.93,1,2,18,282
0.74,0.6667,0.51,2,1,15,175
0.46,0.4545,0.88,4,1,23,84
0.46,0.4545,0.67,4,2,11,108
0.84,0.7727,0.47,3,1,10,231
0.76,0.7273,0.66,2,1,14,564
0.72,0.6515,0.3,2,1,15,672
0.36,0.3333,0.66,4,2,22,74
0.8,0.7879,0.63,3,2,19,469
0.52,0.5,0.83,4,2,4,6
0.24,0.2273,0.7,1,2,1,6
0.54,0.5152,0.6,1,3,13,83
0.3,0.2879,0.36,2,2,19,135
0.58,0.5455,0.83,2,2,1,27
0.76,0.697,0.55,3,3,18,274
0.82,0.803,0.59,3,1,21,190
0.34,0.3333,0.87,4,3,22,21
0.38,0.3939,0.46,1,2,18,406
0.58,0.5455,0.88,2,1,6,112
0.76,0.6667,0.37,3,1,17,635
0.46,0.4545,0.88,1,1,20,235
0.46,0.4545,0.51,2,1,10,406
0.76,0.6818,0.48,3,1,15,204
0.24,0.2424,0.65,4,1,23,93
0.4,0.4091,0.5,1,1,18,383
0.48,0.4697,0.67,3,1,3,8
0.74,0.6818,0.58,3,1,13,350
0.52,0.5,0.83,4,2,15,107
0.2,0.2576,0.4,1,1,10,51
0.32,0.3333,0.33,4,1,12,165
0.44,0.4394,0.94,1,2,7,304
0.3,0.3333,0.7,4,2,7,350
0.08,0.0606,0.42,1,1,0,9
0.66,0.6212,0.69,2,1,20,279
0.26,0.2273,0.7,1,3,23,28
0.2,0.1818,0.47,1,1,14,44
0.7,0.6515,0.65,3,1,1,39
0.22,0.2273,0.93,1,2,5,3
0.4,0.4091,1.0,1,3,17,79
0.62,0.5909,0.78,3,2,1,15
0.84,0.7727,0.41,3,1,12,171
0.34,0.3333,0.42,1,1,3,32
0.32,0.3182,0.57,1,1,4,4
0.8,0.7424,0.49,3,1,13,226
0.64,0.5758,0.89,3,3,15,391
0.34,0.3636,0.87,2,1,5,6
0.72,0.6818,0.66,2,1,7,267
0.74,0.697,0.66,2,1,12,570
0.26,0.2424,0.56,4,2,3,2
0.62,0.6212,0.5,3,1,23,171
0.74,0.6515,0.33,2,1,14,451
0.42,0.4242,0.88,4,1,7,277
0.08,0.1061,0.58,1,1,7,2
0.28,0.3182,0.87,4,2,8,372
0.8,0.7273,0.43,3,1,12,602
0.26,0.2727,0.93,2,3,17,116
0.16,0.1364,0.47,1,1,4,1
0.92,0.8788,0.4,2,1,14,155
0.54,0.5152,0.77,4,3,22,207
0.62,0.6212,0.38,4,1,0,180
0.56,0.5303,0.88,2,1,5,22
0.4,0.4091,0.87,4,3,21,114
0.7,0.6364,0.39,2,1,14,628
0.5,0.4848,0.94,2,2,11,273
0.54,0.5152,0.6,4,1,13,313
0.22,0.2273,0.93,1,2,6,7
0.4,0.4091,0.35,4,1,17,245
0.44,0.4394,0.94,1,2,1,69
0.38,0.3939,0.76,1,1,22,133
0.28,0.2879,0.56,2,1,6,106
0.36,0.3485,0.87,2,2,4,4
0.48,0.4697,0.48,4,3,12,313
0.14,0.1212,0.39,1,1,18,55
0.66,0.6212,0.69,3,2,10,121
0.66,0.6061,0.83,3,1,2,8
0.38,0.3939,0.54,4,2,14,151
0.6,0.5152,0.94,3,2,4,2
0.18,0.197,0.43,1,2,4,3
0.52,0.5,0.59,4,2,17,324
0.7,0.6667,0.79,2,1,0,53
0.54,0.5152,0.73,4,1,19,353
0.54,0.5152,0.56,3,1,4,5
0.54,0.5152,0.64,4,1,18,538
0.4,0.4091,0.43,1,1,16,228
0.74,0.7121,0.74,3,2,10,359
0.28,0.2879,0.45,1,2,13,98
0.3,0.3182,0.81,4,1,2,23
0.12,0.1515,0.54,1,1,3,4
0.68,0.6364,0.57,2,1,19,365
0.6,0.5455,0.88,3,3,15,36
0.56,0.5303,0.26,2,1,18,520
0.32,0.3485,0.93,4,1,8,456
0.7,0.6515,0.65,2,1,22,153
0.38,0.3939,0.94,4,2,7,272
0.3,0.3182,0.93,1,2,5,3
0.6,0.6061,0.6,3,2,15,187
0.66,0.6212,0.5,3,1,23,127
0.54,0.5152,0.24,2,1,17,702
0.36,0.3485,0.4,4,1,16,370
0.02,0.0606,0.48,1,1,5,5
0.54,0.5152,0.49,2,1,9,335
0.68,0.6364,0.69,2,1,11,181
0.6,0.5606,0.81,3,1,8,425
0.7,0.6667,0.79,3,1,4,6
0.64,0.6212,0.38,3,1,21,208
0.4,0.4091,0.5,1,1,10,137
0.22,0.2273,0.64,1,1,3,2
0.62,0.5455,0.94,4,2,6,113
0.52,0.5,0.68,3,1,19,256
0.78,0.6818,0.33,3,1,14,609
0.7,0.6364,0.45,3,1,19,394
0.26,0.2424,0.52,1,2,10,191
0.26,0.2273,0.56,4,2,7,319
0.26,0.2576,0.56,4,1,0,53
0.5,0.4848,0.59,4,2,8,173
0.6,0.5455,0.88,3,2,4,7
0.24,0.197,0.6,4,2,4,2
0.62,0.6212,0.53,2,2,3,5
0.14,0.1212,0.86,1,3,19,88
0.76,0.7424,0.75,3,1,23,123
0.7,0.6515,0.51,3,1,10,328
0.7,0.6515,0.58,2,2,14,158
0.76,0.7121,0.58,3,2,1,17
0.54,0.5152,1.0,4,3,6,52
0.64,0.5758,0.89,3,1,3,43
0.52,0.5,0.59,4,1,19,343
0.62,0.5152,1.0,3,2,2,8
0.38,0.3939,0.43,4,1,19,414
0.34,0.303,0.71,4,3,5,22
0.32,0.2879,0.39,1,2,13,240
0.28,0.2879,0.61,1,1,20,26
0.32,0.2727,0.33,1,1,15,153
0.52,0.5,0.88,4,3,12,75
0.2,0.2273,0.51,1,1,8,24
0.36,0.3485,0.66,1,1,1,93
0.54,0.5152,0.77,3,1,8,683
0.64,0.5758,0.83,3,2,2,93
0.66,0.6212,0.74,3,1,8,447
0.5,0.4848,0.63,4,2,3,79
0.66,0.6212,0.41,1,2,13,273
0.74,0.2424,0.55,3,2,19,491
0.8,0.7273,0.43,3,1,10,113
0.1,0.1061,0.36,1,1,1,7
0.5,0.4848,0.25,1,1,13,125
0.78,0.7424,0.59,3,1,17,270
0.64,0.6212,0.57,2,1,9,340
0.68,0.6364,0.62,3,1,10,129
0.54,0.5152,0.68,1,1,15,554
0.66,0.6061,0.83,3,1,5,37
0.48,0.4697,0.39,1,1,12,221
0.2,0.2576,0.69,1,2,6,34
0.22,0.2576,0.75,4,1,7,26
0.7,0.6667,0.79,3,3,11,151
0.52,0.5,0.36,2,1,4,9
0.36,0.3333,0.87,4,3,3,5
0.62,0.5909,0.73,4,1,13,375
0.56,0.5303,0.76,4,2,17,817
0.46,0.4545,1.0,4,3,12,55
0.76,0.6818,0.48,3,1,11,516
0.34,0.3333,0.81,4,1,3,5
0.58,0.5455,0.88,3,1,5,31
0.86,0.7273,0.19,3,1,15,331
0.56,0.5303,0.83,4,3,1,10
0.3,0.2879,0.26,1,1,14,84
0.3,0.2727,0.87,4,3,1,18
0.44,0.4394,0.72,1,1,4,2
0.4,0.4091,0.87,2,3,8,45
0.62,0.6061,0.61,1,1,19,549
0.2,0.197,0.55,1,1,6,33
0.18,0.1667,0.43,1,1,3,1
0.66,0.6212,0.54,2,1,0,43
0.24,0.2273,0.65,4,1,7,11
0.7,0.6667,0.74,3,2,11,308
0.36,0.3485,0.53,4,2,19,251
0.5,0.4848,0.82,2,3,3,5
0.74,0.697,0.66,3,1,5,35
0.56,0.5303,0.52,4,1,10,217
0.42,0.4242,0.54,4,1,17,486
0.34,0.3333,0.34,1,1,20,126
0.66,0.5909,0.89,3,1,7,82
0.4,0.4091,0.62,4,1,0,96
0.54,0.5152,0.6,4,2,15,191
0.78,0.6818,0.35,2,1,13,180
0.7,0.6667,0.84,3,1,21,269
0.92,0.8333,0.33,3,1,15,194
0.32,0.3333,0.7,1,3,10,44
0.4,0.4091,0.82,4,3,9,129
0.46,0.4545,0.94,4,3,1,12
0.78,0.7273,0.55,3,2,11,215
0.64,0.6061,0.69,2,1,20,336
0.52,0.5,0.59,4,1,4,14
0.64,0.6061,0.73,3,2,9,209
0.66,0.6212,0.65,3,1,23,77
0.7,0.6515,0.61,3,1,20,427
0.72,0.697,0.79,3,2,10,388
0.34,0.3182,0.87,1,2,16,118
0.78,0.7121,0.52,2,1,16,501
0.64,0.6061,0.73,2,3,13,239
0.22,0.2121,0.47,1,1,9,87
0.66,0.6212,0.61,3,3,18,683
0.66,0.6061,0.83,3,1,20,165
0.34,0.3636,0.81,1,3,16,118
0.22,0.2121,0.51,1,1,9,32
0.3,0.2727,0.52,4,1,9,332
0.7,0.6364,0.45,2,2,13,255
0.3,0.3333,0.87,4,2,10,293
0.4,0.4091,0.76,4,1,1,30
0.76,0.7273,0.66,3,2,14,149
0.5,0.4848,0.31,2,1,16,402
0.5,0.4848,0.48,4,1,12,585
0.74,0.6667,0.42,3,1,11,449
0.54,0.5152,0.68,4,1,1,46
0.66,0.6212,0.54,2,1,23,140
0.54,0.5152,0.49,2,1,9,218
0.46,0.4545,0.36,1,1,14,158
0.46,0.4545,0.51,4,1,23,67
0.76,0.6667,0.33,3,1,13,177
0.62,0.5909,0.73,3,1,6,119
0.76,0.7121,0.62,3,2,13,591
0.62,0.6212,0.5,4,1,14,256
0.56,0.5303,0.88,2,1,8,453
0.18,0.2121,0.64,1,2,10,55
0.38,0.3939,0.5,4,1,18,569
0.36,0.3485,0.21,1,1,17,438
0.16,0.1515,0.8,1,2,23,52
0.46,0.4545,0.72,4,1,10,189
0.42,0.4242,0.67,1,2,12,299
0.2,0.2576,0.8,1,1,2,3
0.64,0.5758,0.89,3,2,6,118
0.5,0.4848,0.88,1,1,23,54
0.28,0.2879,0.45,1,1,17,68
0.6,0.5758,0.78,3,1,8,723
0.58,0.5455,0.19,2,1,15,229
0.44,0.4394,0.44,4,1,19,332
0.5,0.4848,0.77,4,2,0,28
0.38,0.3939,0.87,2,2,20,93
0.74,0.6818,0.58,2,3,14,317
0.28,0.2879,0.56,1,1,21,66
0.64,0.6061,0.73,3,2,19,341
0.66,0.6212,0.34,3,1,22,245
0.6,0.6212,0.31,2,1,17,732
0.8,0.7576,0.55,2,1,18,795
0.74,0.6818,0.62,3,1,7,282
0.5,0.4848,0.72,3,1,6,180
